#Field_number xki_field_center eta_field_center Mvlim alpha sigma
113 5.76425 -5.99575 -5.372167047128301 -0.7084713363318742 0.35919911378742975
114 -7.14475 -5.8605 -5.546679349527688 -0.6973578630273531 0.37794760289181617
115 9.526 -5.58675 -5.336749979828143 -0.6835574775592477 0.36143635724618056
116 4.7735 -5.99575 -5.353672642212308 -0.6899022989253634 0.4115251892223267
117 -5.1290000000000004 -5.96275 -5.371799192590804 -0.6061641799047589 0.2743956183204317
118 -6.135249999999999 -5.8767499999999995 -5.352901849726012 -0.5937850855353961 0.3728094861762603
119 -4.12275 -5.99475 -5.422635941360915 -0.6633391629322577 0.3086842816868904
120 3.78325 -5.99525 -5.3763392190834125 -0.7162071786284249 0.3721719168594516
121 -3.13225 -5.996 -5.200980495330997 -0.6544180309499334 0.37004181528216096
122 2.79775 -5.9955 -5.43651320504706 -0.7527217025927282 0.37643427746511277
123 -2.14575 -5.996250000000001 -5.357153821043843 -0.6498310960323037 0.3766077715906123
124 1.80825 -5.9955 -5.484025907021754 -0.7609010989598552 0.3797999035672607
125 -1.15875 -5.995500000000001 -5.4599616802706645 -0.758485412841563 0.3629013863599042
126 0.8182499999999999 -5.9955 -5.381652460201172 -0.7449074854843258 0.3377277988416392
127 -0.16775 -5.99575 -5.4941711775589726 -0.8069008611412002 0.4410081192066849
128 8.6095 -5.38475 -5.474124994627161 -0.7162816346206193 0.3742723639641013
129 10.29025 -4.9135 -5.3972208002151945 -0.6663809994004994 0.3005050044028543
130 7.64975 -5.04725 -5.348658990030028 -0.6855249239068706 0.39966984121383653
131 9.41525 -4.77425 -5.3557477795172135 -0.6617600915275023 0.34869747332226964
132 6.65425 -5.0395 -5.532795200806113 -0.7069476397479172 0.2808909988750959
133 -8.3225 -4.8825 -5.336042979110021 -0.6784870038377351 0.41524438420992077
134 -7.30675 -4.90075 -5.24470970012588 -0.5972431781331489 0.31251954692116013
135 5.6155 -4.99525 -5.405432229225124 -0.7014968914308175 0.3634303262927567
136 8.57025 -4.7215 -5.3265204242774615 -0.6453915239497431 0.4019250536283003
