#Field_number xki_field_center eta_field_center Mvlim alpha sigma
329 6.84225 3.9587499999999998 -5.651990497512205 -0.5210067497775402 0.28699478920351684
330 -7.5105 4.0504999999999995 -5.616533985440403 -0.4687510353388852 0.33557448852263033
331 -6.5625 4.042 -5.462220534778155 -0.45720770888927087 0.28524743503612554
332 5.863499999999999 4.01825 -5.551347745670233 -0.47361525090631157 0.2786252128699685
333 -5.6122499999999995 4.0337499999999995 -5.650200377736477 -0.47326466452266625 0.28974781403496547
334 4.9085 4.0295000000000005 -5.609068411031023 -0.4841324812490342 0.34462308029582445
335 -4.662 4.02475 -5.738010905268194 -0.5125482386991816 0.3245425813162897
336 3.9615 3.99025 -5.568561157986541 -0.5246685907081544 0.32369378725792064
337 2.9955 3.95425 -5.5873966042156376 -0.4959850177090488 0.2684619695779484
338 2.02825 3.9155 -5.760856762336419 -0.5661586269733444 0.2864269823750401
339 -2.747 3.96125 -5.782752782530386 -0.5504663845418505 0.2672142227648859
340 -1.779 3.9215000000000004 -5.804731310389743 -0.5756737907330016 0.29251056995376
341 -3.714 4.01725 -5.6838567417315184 -0.5106290739022867 0.32726826461590575
342 8.646249999999998 4.9405 -5.566342209042906 -0.48853848926486376 0.30081060912449786
343 1.0627499999999999 4.28875 -5.8103743706311635 -0.5510616434678313 0.3148409507038299
344 7.7025 4.930750000000001 -5.783505881806752 -0.5354397750798258 0.33171782859871146
345 -8.373000000000001 5.0794999999999995 -5.65646025081622 -0.4483874359049206 0.2660946488942352
346 0.15225 4.481 -5.682802896815799 -0.5312061107099972 0.34383829201295424
347 -0.8124999999999999 4.489750000000001 -5.761380618167937 -0.592620405191533 0.30922698792629444
348 6.7585 4.942 -5.671574558768665 -0.4872977319024763 0.220426369620584
349 -7.4395 5.05125 -5.874927340376641 -0.5336365658375243 0.26340822495166055
350 -6.4967500000000005 5.04175 -5.643463956275408 -0.45002022500718236 0.2691645982643597
351 5.8035 5.0275 -5.555340841675929 -0.4555028866821479 0.2813103421609822
352 -5.557 5.03375 -5.838268531432207 -0.5161475737389551 0.22296342605133285
353 4.861750000000001 5.01875 -5.703270310665494 -0.4988056808453222 0.32260458007357073
354 -4.6160000000000005 5.025250000000001 -5.93515570265798 -0.5240038922515898 0.2803696321609194
355 3.925 4.991750000000001 -5.793064633809108 -0.5144173454293723 0.38224620299816686
356 2.966 4.95625 -5.609181179478437 -0.4696722812734671 0.20563759823404024
357 2.0095 4.91675 -5.802349111608998 -0.5401691025547368 0.26302526157288225
358 -1.7634999999999998 4.9167499999999995 -5.69513756429159 -0.5263490577648885 0.306750666373533
359 -2.7197500000000003 4.963 -5.688922370400706 -0.4937760805947733 0.3356799727592894
360 -3.6734999999999998 5.0177499999999995 -5.717060125612272 -0.4870782177629655 0.3063367934839728
361 1.05375 5.29075 -5.772077525798735 -0.5274812009477842 0.290247543339761
362 7.632 5.93325 -5.798668561353317 -0.5060265431176112 0.34289698039129374
363 -8.284999999999998 6.08375 -5.731145533381894 -0.441587865025984 0.22579738683710715
364 0.154 5.484 -5.7817224200769 -0.518881171030371 0.2617075105005374
365 -0.8002499999999999 5.492749999999999 -5.84181530328712 -0.5647096986913951 0.3191889920457921
366 6.69375 5.945749999999999 -5.6672445814901495 -0.45471361326079934 0.30861018390106454
367 -7.367000000000001 6.0535000000000005 -5.761203594799177 -0.45018075767452626 0.2818891878948607
368 -6.4350000000000005 6.0465 -5.810209713900976 -0.46059015224002414 0.2305445475265355
369 5.751 6.038 -5.738441918963124 -0.4613517955546171 0.29622361718336565
370 -5.50225 6.0375000000000005 -5.797506104708762 -0.4543574880741497 0.24045508766686108
371 4.81925 6.0305 -5.7902240251323445 -0.4838270010030966 0.2824323968450966
372 -4.5672500000000005 6.029999999999999 -5.841892032682676 -0.4642861091767144 0.26426406407787134
373 3.88525 5.995000000000001 -5.874673651820628 -0.5059868009505623 0.23584514347479385
374 2.9379999999999997 5.96025 -5.664906742547142 -0.47568026630011445 0.26190284883096693
375 1.9917500000000001 5.9205 -5.836929517788819 -0.5053710153487325 0.3008609557263509
376 -1.74325 5.92175 -5.760668782472382 -0.4682569037760873 0.226131294507209
377 -2.6895000000000002 5.960750000000001 -5.743868433205703 -0.46317617181734455 0.27700741662562245
378 -3.63725 6.022 -5.854116979308473 -0.46335744294950043 0.25210950837178087
379 1.04075 6.296749999999999 -5.7609870802939485 -0.48700833118904907 0.28691127501818864
380 7.5032499999999995 6.94275 -5.6652856851815105 -0.4646508547215809 0.3132684853331641
381 0.1525 6.49025 -5.7999635878165 -0.47898730817059315 0.278112459394327
382 -0.7905000000000001 6.4990000000000006 -5.94411004106842 -0.5039976667467105 0.3616476049651873
383 6.57775 6.95575 -5.830070701498323 -0.4864917703931332 0.25045774754707917
384 -7.243250000000001 7.0655 -5.853945349602513 -0.4571444274072044 0.3014006115439531
385 -6.32625 7.0575 -5.967935696017413 -0.4912815991999331 0.24503392020732107
386 5.69475 7.045 -5.851694509356263 -0.47711750489922006 0.2802167178232291
387 -5.4085 7.04875 -5.871283687546426 -0.4664709996043826 0.2755100277552592
388 4.7692499999999995 7.03825 -5.830407588867308 -0.49149088519869394 0.3158857653974182
389 -4.48925 7.040500000000001 -5.865442256022276 -0.4677802644348483 0.26942292579451027
390 -3.7027499999999995 6.98625 -5.855271775149687 -0.4495999224859792 0.2670004613992724
391 3.846 7.022 -5.798462464697075 -0.47492882771114325 0.32637573811867693
392 2.90575 6.97525 -5.902010509860907 -0.48821502431567404 0.28023370649639395
393 1.9697500000000001 6.935249999999999 -5.832063557884148 -0.47735377169834514 0.22449052002425152
394 -2.721 6.970750000000001 -5.906368277704818 -0.4830293689433449 0.2650770841066754
395 -1.7229999999999999 6.936 -6.058534298030092 -0.4765555946433836 0.36141078435496876
396 1.02275 7.31775 -5.8768077863413275 -0.48064822959796655 0.3218744178060533
397 0.15175 7.5115 -5.863432476634232 -0.47353508479547285 0.27144175376844715
398 -0.77525 7.521 -6.152893621021695 -0.44885150132320406 0.4945264004535727
399 -4.413 8.0585 -5.863235178481168 -0.44611932578021396 0.32554943023732513
400 -3.6374999999999997 8.00325 -5.993946550799461 -0.4624938130353143 0.2542229115543216
401 -2.6754999999999995 7.982000000000001 -5.854223655794323 -0.43559223682880166 0.24964378175016788
402 -1.69325 7.9535 -6.105062608153735 -0.48676467681708574 0.4122272283974454
403 -0.7615 8.54025 -5.817141230780202 -0.44273258077117544 0.2557382351231127
404 -3.57175 9.02425 -6.111052082976917 -0.5025827335333085 0.2733276097741743
405 -2.63 9.003499999999999 -6.01482068929881 -0.4756637245377935 0.263737215223301
406 -1.66 8.973749999999999 -5.92618250912406 -0.4511793984729515 0.2894993319936823
