  1  1  13.217 -12.553
  1  2  12.176 -12.675
  1  3  12.346 -13.742
  1  4  13.392 -13.623
  2  1  12.187 -12.652
  2  2  11.151 -12.765
  2  3  11.306 -13.830
  2  4  12.346 -13.720
  3  1  11.123 -12.465
  3  2  10.093 -12.569
  3  3  10.234 -13.629
  3  4  11.268 -13.529
  4  1  13.037 -11.497
  4  2  12.002 -11.627
  4  3  12.174 -12.682
  4  4  13.214 -12.555
  5  1  12.028 -11.587
  5  2  10.998 -11.707
  5  3  11.156 -12.762
  5  4  12.191 -12.645
  6  1  14.052 -11.325
  6  2  13.012 -11.462
  6  3  13.195 -12.521
  6  4  14.240 -12.388
  7  1  10.005 -11.722
  7  2   8.983 -11.817
  7  3   9.109 -12.870
  7  4  10.135 -12.777
  8  1  10.977 -11.404
  8  2   9.952 -11.515
  8  3  10.095 -12.566
  8  4  11.124 -12.459
  9  1   3.407 -11.557
  9  2   2.402 -11.586
  9  3   2.438 -12.629
  9  4   3.445 -12.600
 10  1   2.431 -11.565
 10  2   1.427 -11.585
 10  3   1.451 -12.626
 10  4   2.457 -12.607
 11  1   1.456 -11.563
 11  2   0.453 -11.573
 11  3   0.462 -12.615
 11  4   1.468 -12.605
 12  1  14.888 -10.198
 12  2  13.846 -10.349
 12  3  14.043 -11.402
 12  4  15.089 -11.255
 13  1  12.866 -10.432
 13  2  11.835 -10.565
 13  3  12.007 -11.614
 13  4  13.041 -11.484
 14  1  11.869 -10.538
 14  2  10.842 -10.657
 14  3  10.996 -11.705
 14  4  12.026 -11.589
 15  1  13.866 -10.271
 15  2  12.829 -10.410
 15  3  13.010 -11.460
 15  4  14.051 -11.325
 16  1   9.871 -10.668
 16  2   8.853 -10.770
 16  3   8.982 -11.814
 16  4  10.003 -11.715
 17  1   8.882 -10.704
 17  2   7.867 -10.791
 17  3   7.978 -11.834
 17  4   8.996 -11.749
 18  1  10.834 -10.359
 18  2   9.813 -10.468
 18  3   9.952 -11.512
 18  4  10.977 -11.406
 19  1   3.892 -10.520
 19  2   2.891 -10.556
 19  3   2.933 -11.592
 19  4   3.937 -11.557
 20  1   2.927 -10.533
 20  2   1.927 -10.559
 20  3   1.956 -11.594
 20  4   2.959 -11.569
 21  1   1.966 -10.537
 21  2   0.966 -10.553
 21  3   0.982 -11.588
 21  4   1.985 -11.573
 22  1   1.004 -10.531
 22  2   0.005 -10.537
 22  3   0.008 -11.572
 22  4   1.010 -11.566
 23  1  14.685  -9.148
 23  2  13.648  -9.302
 23  3  13.843 -10.347
 23  4  14.884 -10.196
 24  1  12.695  -9.386
 24  2  11.668  -9.522
 24  3  11.839 -10.563
 24  4  12.868 -10.430
 25  1  13.678  -9.224
 25  2  12.646  -9.366
 25  3  12.825 -10.409
 25  4  13.861 -10.270
 26  1  11.697  -9.481
 26  2  10.675  -9.604
 26  3  10.842 -10.667
